malware,alias
lumma stealer,lummac2 stealer
fakeupdates,fakeupdate
remcos,remcosrat
coper,exobotcompact
redline stealer,recordstealer
dcrat,darkcrystal rat
satacom,legionloader
cobalt strike,agentemis
havoc,havokiz
quasar rat,cinarat
shadowpad,poisonplug shadow
darkcomet,breut
njrat,bladabindi
plugx,destroy rat
bashlite,gayfgt
phorpiex,trik
mirai,katana
ghost rat,farfli
orcus rat,schnorchel
n w0rm,nw0rm
pony,siplog
loki password stealer  pws,burkina
qakbot,oakboat
amos,atomic macos stealer
warmcookie,badspace
netsupportmanager rat,netsupport
sectoprat,1xxbot
nanocore rat,nancrat
azorult,puffstealer
ave maria,ave maria
bumblebee,coldtrain
fakeupdates,socgholish
remcos,remvio
coper,octo
cobalt strike,beacon
quasar rat,quasarrat
shadowpad,xshellghost
darkcomet,fynloski
njrat,lime worm
plugx,kaba
bashlite,gafgyt
phorpiex,phorphiex
ghost rat,gh0st rat
n w0rm,nworm
pony,fareit
loki password stealer  pws,loki
qakbot,pinkslipbot
warmcookie,quickbind
sectoprat,arechclient
nanocore rat,nanocore
azorult,rultazo
ave maria,avemariarat
bumblebee,shellsting
remcos,socmer
cobalt strike,cobaltstrike
quasar rat,yggdrasil
darkcomet,klovbot
plugx,korplug
bashlite,qbot
ghost rat,pcrat
loki password stealer  pws,lokibot
qakbot,qbot
ave maria,warzone rat
bumblebee,shindig
cobalt strike,cobeacon
plugx,sogu
bashlite,torlus
loki password stealer  pws,lokipws
qakbot,quakbot
ave maria,warzonerat
plugx,tigerplug
bashlite,lizkebab
ave maria,avemaria
plugx,reddelta
